BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
black fleet brewing,BLACK FLEET BREWING,13.51,22.1,11.05,12.94,9.42,17.08,15.74,11.94,16.44,9.56,11.98,14.67,166.42999999999998
black label brewing company,BLACK LABEL BREWING COMPANY,12.5,0.0,0.0,0.0,0.0,32.0,0.0,8.0,0.0,0.0,40.5,0.0,93.0
black raven brewing company,BLACK RAVEN BREWING COMPANY,1590.1599999999999,904.37,684.23,1194.46,-10.54,1774.7800000000002,-5.95,21.73,878.0899999999999,-7.05,1888.28,-6.81,8905.75
blackbeard's brewing company,BLACKBEARDS BREWING COMPANY,32.0,50.0,0.0,24.0,8.0,16.0,24.0,0.0,24.0,0.0,8.0,17.5,203.5
blewett brewing company,BLEWETT BREWING COMPANY,21.85,43.25,28.0,16.6,15.1,39.05,34.1,18.4,22.45,22.5,31.6,45.3,338.2
bombing range brewing company,BOMBING RANGE BREWING COMPANY,48.02,41.12,40.44,45.1,40.66,47.31,50.47,46.87,44.79,39.98,45.88,47.71,538.35
bottle bay brewing company,BOTTLE BAY BREWING CO.,0.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,0.0,80.0,0.0,130.0
boundary bay brewery,BOUNDARY BAY BREWERY AND BISTRO,559.19,461.11,340.11,416.68,304.31,577.56,613.18,495.1,458.02,372.26,477.46,538.55,5613.530000000001
breakthru brewing company,BREAKTHRU BREWING COMPANY,4.0,12.0,10.0,11.5,15.0,4.5,4.5,0.0,8.0,8.0,11.0,0.0,88.5
brewbakers brewing company,BREW BAKERS,1.5,2.0,0.0,2.5,1.5,3.0,1.5,1.5,2.0,1.0,3.0,2.0,21.5
brick west brewing company,BRICK WEST BREWING,154.67,154.63,163.09,110.65,153.33,184.62,223.45,201.44,182.94,113.69,198.86,193.33,2034.7000000000003
bron yr aur brewing company,BRON YR AUR FRUIT & PRODUCE,21.75,32.02,18.54,20.17,20.17,28.44,26.7,27.5,25.92,10.32,24.04,24.14,279.71000000000004
brother ass brewing,BROTHER ASS BREWING,3.02,7.39,4.53,14.37,4.29,6.33,8.65,0.0,7.03,7.33,4.28,5.91,73.13
brothers cascadia brewing,BROTHERS CASCADIA BREWING,0.0,72.43,72.81,127.43,98.21,105.48,124.47,115.64,195.27,92.9,84.7,98.12,1187.46
bugu brewing company,BUGU BREWING COMPANY,4.94,11.49,5.7,3.44,1.65,0.0,4.27,2.46,3.94,4.06,4.05,4.29,50.29
burke-gilman brewing company,BURKE-GILMAN BREWING COMPANY,277.84,0.0,17.9,33.1,34.2,83.3,0.0,0.0,28.7,0.0,57.4,51.5,583.9399999999999
burwood brewing company,BURWOOD BREWING COMPANY,44.54,49.02,34.09,38.49,30.95,46.96,72.16,46.22,51.73,39.67,36.3,56.25,546.3800000000001
byron street brewery,BYRON ST BREWERY,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.5,2.5,14.5
cairn brewing,CAIRN BREWING,28.5,38.0,12.5,10.5,26.0,33.0,31.0,43.5,43.5,31.5,34.0,36.0,368.0
camas brewing company,CAMAS BREWING CO,0.0,23.5,0.0,0.0,0.0,0.0,0.0,18.0,-1.25,0.0,9.58,8.75,58.58
camp colvos brewing,CAMP COLVOS BREWING,37.9,48.8,29.9,55.8,0.0,93.8,0.0,32.6,41.9,66.4,0.0,43.7,450.7999999999999
captain's brewing company,CAPTAINS BREWING COMPANY,0.42,0.0,0.0,0.5,0.17,0.0,0.42,0.42,0.42,0.0,0.0,0.32,2.67
cardinal craft brewing,CARDINAL CRAFT BREWING,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,1.0,26.0
chainline brewing company,CHAINLINE BREWERY,139.59,179.1,84.98,123.38,66.74,136.94,262.77,126.59,-0.29,95.47,88.73,161.48,1465.48
chaos bay brewing company,CHAOS BAY BREWING CO.,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,16.0
chief spring's fire and irons brewpub,CHIEF SPRINGS FIRE & IRONS BREW PUB,9.71,10.83,10.7,21.87,0.0,11.41,18.56,13.36,9.97,17.52,0.0,10.72,134.65
chuckanut brewery,CHUCKANUT BREWERY,291.1,457.6,252.11,283.3,263.4,349.3,389.8,465.2,351.45,591.3,-1.5,322.6,4015.6600000000003
cloudburst brewing,CLOUDBURST BREWING,175.84,196.28000000000003,150.56,159.64,139.42000000000002,166.44,181.92000000000002,181.46,167.88,147.81,164.29,168.52,2000.06
cole street brewery,COLE STREET BREWERY,2.6,0.0,0.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,15.6
common language brewing company,COMMON LANGUAGE BREWING COMPANY,15.0,22.0,4.5,0.0,0.0,50.0,3.0,47.0,22.5,13.0,42.0,10.0,229.0
