brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Black Fleet Brewing,,taproom,2302 Fawcett Ave,Tacoma,98402,Pierce,47.24077500,-122.44056500,2019,1,0,0,0,https://untappd.com/BlackFleetBrewing
Black Label Brewing Company,,micro,W 19 Main Ave,Spokane,99201,Spokane,47.65876060,-117.41198000,2015,0,1,1,0,https://untappd.com/BlackLabelBrewingCompany
Black Raven Brewing Company,Woodinville,micro,15902 Woodinville-Redmond Rd NE,Woodinville,98072,King,47.74648386,-122.16315860,2009,1,1,1,0,https://untappd.com/BlackRavenBrewingCompany
Black Raven Brewing Company,Redmond,brewpub,14679 NE 95th St,Redmond,98052,King,47.68549171,-122.14551040,2009,1,1,1,0,https://untappd.com/BlackRavenBrewingCompany
Blackbeard's Brewing Company,,brewpub,700 W Ocean Ave,Westport,98595,Grays Harbor,46.88708755,-124.11192570,2015,0,1,1,0,https://untappd.com/Blackbeards
Blewett Brewing Company,,micro,911 Commercial Street,Leavenworth,98826,Chelan,47.59665210,-120.65616190,2016,1,1,1,0,https://untappd.com/BlewettBrewing
Bluebird Microcreamery and Brewery,,nanobrewery,7415 Greenwood Ave N,Seattle,98103,King,47.68302840,-122.35548500,2012,0,0,0,0,https://untappd.com/w/bluebird-microcreamery-brewery/41428
Bombing Range Brewing Company,,micro,2000 Logston Blvd #126,Richland,99354,Benton,46.31847700,-119.30189300,2017,0,1,1,0,https://untappd.com/w/bombing-range-brewing-company/298095
Bosk Brew Works,,alt prop,14350 NE 193Rd Pl Building C,Woodinville,98072,King,47.76769213,-122.14844180,2018,1,0,0,0,https://untappd.com/BoskBrewWorks
Bottle Bay Brewing Company,,brewpub,503 E 30th Ave,Spokane,99203,Spokane,47.62733743,-117.40291210,2022,0,0,1,0,https://untappd.com/BottleBayBrewingCo
Boundary Bay Brewery,,brewpub,1107 Railroad Ave,Bellingham,98225,Whatcom,48.74721696,-122.48101560,1995,1,1,1,0,https://untappd.com/bbaybrewery
BreakThru Brewing Company,,taproom,8611 S 212th St,Kent,98031,King,47.41199400,-122.22496660,2021,1,0,1,0,https://untappd.com/BreakThruBrewingCompany
Brewbakers Brewing Company,,micro,11927 84th St Ne,Lake Stevens,98258,Snohomish,48.07243446,-122.06769327,2015,0,1,1,0,https://untappd.com/w/brewbakers-brewery-wa/219768
Brick West Brewing Company,,brewpub,1318 West 1St Ave Ste 1,Spokane,99201,Spokane,47.65659990,-117.43147510,2020,1,0,1,0,https://untappd.com/BrickWestBrewing
Bron Yr Aur Brewing Company,,micro,12160 Us Hwy 12,Naches,98937,Yakima,46.73865290,-120.73932000,2015,0,1,1,0,https://untappd.com/BronYrAurBrew
Brother Ass Brewing,,taproom,11700 NE 54Th Ct,Vancouver,98686,Clark,45.70626635,-122.61722470,2015,0,1,0,0,https://untappd.com/BrotherAssBrewing
Brothers Cascadia Brewing,,taproom,9811 NE 15th Ave,Vancouver,98665,Clark,45.69223000,-122.65595400,2017,0,1,0,0,https://untappd.com/BrothersCascadia
Bugu Brewing Company,,taproom,14751 N Kelsey St Suite 107,Monroe,98272,Snohomish,47.86409110,-121.97519200,2021,1,0,1,0,https://untappd.com/BuguBrewing
Burke-Gilman Brewing Company,,taproom,3626 NE 45th St #102,Seattle,98105,King,47.66146580,-122.28805600,2018,1,0,1,0,https://untappd.com/BurkeGilmanBrewingCompany
Burwood Brewing Company,,micro,1120 E St,Walla Walla,99362,Walla Walla,46.09339640,-118.26590000,2014,1,1,1,0,https://untappd.com/BurwoodBrewingCompany
Byron Street Brewery,,taproom,3388 NW Byron Street Suite 101,Silverdale,98383,Kitsap,47.64473570,-122.69568940,2022,0,0,1,0,https://untappd.com/w/byron-street/529245
Cairn Brewing,,micro,7204 NE 175th St,Kenmore,98028,King,47.75673400,-122.24417700,2016,0,1,0,0,https://untappd.com/CairnBeer
Camas Brewing Company,,taproom,335 NE Cedar St,Camas,98607,Clark,45.58542289,-122.40381440,2022,0,0,1,1,https://untappd.com/CamasBrewingCo
Camp Colvos Brewing,Vashon,brewpub,17636 Vashon Hwy Sw,Vashon,98070,King,47.44644220,-122.46015780,2018,0,0,0,0,https://untappd.com/CampColvosBrewing
Camp Colvos Brewing,Tacoma,taproom,2104 Commerce St,Tacoma,98402,Pierce,47.24283525,-122.43712780,2018,0,0,0,0,https://untappd.com/CampColvosBrewing
Cardinal Craft Brewing,,brewpub,15579 Peterson Rd,Burlington,98233,Skagit,48.47251215,-122.40980980,2016,0,0,0,0,https://untappd.com/CardinalCraftBrewing
Chainline Brewing Company,,brewpub,500 Uptown Court Suite 210,Kirkland,98033,King,47.67835700,-122.19816400,2015,1,1,1,0,https://untappd.com/ChainlineBrewingCompany
Chaos Bay Brewing Company,,brewpub,1100 Perry Ave,Bremerton,98310,Kitsap,47.57037290,-122.61368350,2021,0,0,1,0,https://untappd.com/DerBlokkenBrewery
