brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Matchless Brewing,,1,brewpub,8036 River Dr SE #208,Tumwater,98501,Thurston,46.9708364,-122.88502,2016,1,1,0,0,https://untappd.com/MatchlessBrewing,3.86,204713.0,44102.0,630.0
McMenamins Anderson School Brewery,,1,brewpub,18607 Bothell Way NE,Bothell,98011,King,47.76388,-122.2080688,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins East Vancouver Brewery,,1,brewpub,1900B NE 162nd Ave Ste B107,Vancouver,98684,Clark,45.63673,-122.50778,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Elks Temple,,1,brewpub,565 Broadway,Tacoma,98402,Pierce,47.25926,-122.4420142,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Kalama Harbor Lodge,,1,brewpub,215 N Hendrickson Dr,Kalama,98625,Cowlitz,46.01724,-122.8511351,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Mill Creek Brewery,,1,brewpub,13300 Bothell Everett Hwy Ste 304,Mill Creek,98012,Snohomish,47.87784,-122.2083569,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Olympic Club Brewery,,1,brewpub,112 N Tower Ave,Centralia,98531,Lewis,46.71642,-122.9541121,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins On the Columbia Brewery,,1,brewpub,1801 SE Columbia River Dr,Vancouver,98661,Clark,45.61545,-122.6530699,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Queen Anne Brewery,,1,brewpub,200 Roy St Ste 105,Seattle,98109,King,47.62552,-122.352602,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Six Arms Brewery,,1,brewpub,300 E Pike St,Seattle,98122,King,47.61416,-122.3276777,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
McMenamins Spar Cafe Brewery,,1,micro,114 4th Ave E,Olympia,98501,Thurston,47.045,-122.9013738,1983,1,0,0,0,https://untappd.com/McMenamins,3.67,447531.0,69763.0,909.0
Meatheads Smokehouse and Beer Works,,1,taproom,8928 Vernon Rd,Lake Stevens,98258,Snohomish,48.00222135,-122.1098734,2021,0,0,1,1,https://untappd.com/Meatheads21,3.71,1085.0,424.0,0.0
Menace Brewing,,1,taproom,2529 Meridian Street,Bellingham,98225,Whatcom,48.76355086,-122.4862211,2013,0,1,1,0,https://untappd.com/MenaceBrewing,3.67,5782.0,1949.0,21.0
Métier Brewing Company,,1,brewpub,14125 NE 189th St Suite B,Woodinville,98072,King,47.76422298,-122.1515601,2016,1,0,1,0,https://untappd.com/MetierBrewing,3.75,16181.0,5800.0,139.0
Middleton Brewing,,1,brewpub,607 Southeast Everett Mall Way,Everett,98208,Snohomish,47.91059997,-122.2248042,2013,0,1,1,0,https://untappd.com/MiddletonBrewingWA,3.71,11562.0,2505.0,9.0
Milepost 111 Brewing Company,,1,micro,407 Aplets Way,Cashmere,98815,Chelan,47.524234,-120.470178,2013,0,1,1,0,https://untappd.com/milepostbeer,3.37,1967.0,926.0,0.0
Mirage Beer Company,,1,taproom,927 S Homer St,Seattle,98108,King,47.550523,-122.3191768,2017,0,1,0,0,https://untappd.com/MirageBeerCo,4.06,33072.0,7857.0,25.0
Monka Brewing Company,,1,taproom,17211 15th Ave Ne,Shoreline,98155,King,47.75412478,-122.3135273,2018,0,0,1,0,https://untappd.com/MonkaBrewey,3.85,1326.0,560.0,0.0
Moonshot Brewing,,1,brewpub,8804 W Victoria Ave Ste 140,Kennewick,99336,Benton,46.228777,-119.240958,2019,1,0,0,0,https://untappd.com/Moonshot_Brewing,3.82,4969.0,878.0,58.0
Mother Fern Brewing,,1,brewpub,610 Pacific Ave,Tacoma,98402,Pierce,47.25791576,-122.440158,2021,0,0,1,1,https://untappd.com/MotherFernBrewing,3.86,532.0,199.0,0.0
Mount Olympus Brewing,,1,taproom,105 W Heron St,Aberdeen,98520,Grays Harbor,46.97327712,-123.8171792,2018,0,0,1,0,https://untappd.com/MountOlympusBrewing,3.86,8298.0,2911.0,82.0
Mountain Lakes Brewing Company,,1,taproom,105 W Heron St,Spokane,99201,Spokane,47.657891,-117.413453,2018,1,0,0,0,https://untappd.com/MountainLakesBrewCo,3.88,5219.0,1249.0,5.0
Mule and Elk Brewing Company,,1,micro,418 E 1st St Suite 5,Cle Elum,98922,Kittitas,47.19383354,-120.9322128,2016,0,1,1,0,https://untappd.com/MuleElkBrewingCo,3.67,3414.0,1289.0,13.0
Narrows Brewing Company,,1,brewpub,9007 S 19th Street,Tacoma,98466,Pierce,47.24346569,-122.5564963,2013,1,1,1,0,https://untappd.com/NarrowsBrewing,3.78,65382.0,17989.0,270.0
