brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Birdsview Brewing Company,micro,38302 State Rt 20,Concrete,98237,Skagit,48.52822071,-121.9130771,2006,0,0,https://untappd.com/BirdsviewBrewingCompany,20.2,32.7,24.8,26.6,13.3,26.4,37.6,19.1,33.3,12.0,19.5,19.7,285.2
Bizarre Brewing,brewpub,4441 26th Ave W Suite A,Seattle,98199,King,47.66058456,-122.3902884,2022,1,0,https://untappd.com/BizarreBrewing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,21.97,30.88,80.36
Black Fleet Brewing,taproom,2302 Fawcett Ave,Tacoma,98402,Pierce,47.240775,-122.440565,2019,1,0,https://untappd.com/BlackFleetBrewing,9.42,12.94,11.94,13.51,16.44,15.74,17.08,22.1,14.67,11.98,9.56,11.05,166.43
Black Label Brewing Company,micro,W 19 Main Ave,Spokane,99201,Spokane,47.6587606,-117.41198,2015,0,0,https://untappd.com/BlackLabelBrewingCompany,8.0,8.0,8.0,12.5,19.0,25.5,32.0,34.83,37.67,40.5,40.5,40.5,307.0
Black Raven Brewing Company,micro,15902 Woodinville-Redmond Rd NE,Woodinville,98072,King,47.74648386,-122.1631586,2009,1,0,https://untappd.com/BlackRavenBrewingCompany,-10.54,1194.46,21.73,1590.16,878.09,-5.95,1774.78,904.37,-6.81,1888.28,-7.05,684.23,8905.75
Blackbeard's Brewing Company,brewpub,700 W Ocean Ave,Westport,98595,Grays Harbor,46.88708755,-124.1119257,2015,0,0,https://untappd.com/Blackbeards,8.0,24.0,28.0,32.0,24.0,24.0,16.0,50.0,17.5,8.0,8.0,8.0,247.5
Blewett Brewing Company,micro,911 Commercial Street,Leavenworth,98826,Chelan,47.5966521,-120.6561619,2016,1,0,https://untappd.com/BlewettBrewing,15.1,16.6,18.4,21.85,22.45,34.1,39.05,43.25,45.3,31.6,22.5,28.0,338.2
Bombing Range Brewing Company,micro,2000 Logston Blvd #126,Richland,99354,Benton,46.318477,-119.301893,2017,0,0,https://untappd.com/w/bombing-range-brewing-company/298095,40.66,45.1,46.87,48.02,44.79,50.47,47.31,41.12,47.71,45.88,39.98,40.44,538.35
Bottle Bay Brewing Company,brewpub,503 E 30th Ave,Spokane,99203,Spokane,47.62733743,-117.4029121,2020,0,0,https://untappd.com/BottleBayBrewingCo,4.0,4.0,14.5,25.0,35.5,46.0,54.5,63.0,71.5,80.0,80.0,80.0,558.0
Boundary Bay Brewery,brewpub,1107 Railroad Ave,Bellingham,98225,Whatcom,48.74721696,-122.4810156,1995,1,0,https://untappd.com/bbaybrewery,304.31,416.68,495.1,559.19,458.02,613.18,577.56,461.11,538.55,477.46,372.26,340.11,5613.53
