brewery_wa,brewery_prod,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
figurehead brewing company,FIGUREHEAD BREWING COMPANY,19.0,19.51,,52.72,21.85,31.77,25.23,31.75,23.67,33.09,22.37,11.58,292.54
fired up brewing,FIRED UP BREWING,14.51,16.1,12.82,,29.24,23.74,12.82,,31.2,18.53,7.56,12.23,178.74999999999997
five dollar ranch brewing company,FIVE DOLLAR RANCH BREWING COMPANY,10.04,9.58,14.35,9.9,12.6,15.06,17.3,16.16,17.22,14.31,12.34,17.67,166.53
five dons brewing,FIVE DONS BREWING,,,,,,,,29.5,,,,,29.5
floodland brewing,FLOODLAND BREWING COMPANY,,,42.03,,54.9,,31.26,,35.1,39.1,,,202.39
flyers restaurant and brewery,FLYERS RESTAURANT AND BREWERY,,62.25,,,,68.5,,61.5,,,55.5,,247.75
flying bike cooperative brewery,FLYING BIKE COOPERATIVE BREWERY,22.5,66.53,33.14,38.75,25.67,,38.75,66.16,,72.64,23.08,,387.22
flying lion brewing,FLYING LION BREWING,29.26,39.64,25.64,27.27,58.92,49.07,32.64,51.75,54.11,38.03,59.75,33.11,499.19000000000005
foggy noggin brewing,FOGGY NOGGIN BREWING,3.17,4.0,4.83,1.34,3.0,1.83,5.84,2.0,3.0,3.0,1.67,3.0,36.68
for the love of god brewing,FOR THE LOVE OF GOD BREWING,7.0,5.0,10.0,10.0,19.0,10.0,12.0,14.0,14.0,10.0,11.0,6.0,128.0
formula brewing,FORMULA BREWING,49.0,,129.1,91.5,54.52,74.67,110.65,55.81,,127.34,7.0,52.71,752.3
fortside brewing company,FORTSIDE BREWING COMPANY,59.59,66.6,75.23,97.03,72.1,105.45,96.34,116.03,74.39,123.88,63.78,37.66,988.08
forward operating base brewing company,FOB BREWING COMPANY,,25.0,,,,11.0,,8.0,,,25.0,,69.0
four generals brewing,FOUR GENERALS BREWING,17.76,16.87,16.4,16.32,22.09,23.47,18.26,21.64,17.28,15.45,14.2,11.83,211.57
four horsemen brewery,FOUR HORSEMEN BREWERY,3.1,3.97,-16.26,7.39,,13.0,,11.0,,6.0,4.0,,32.2
four-eyed guys brewing company,FOUR-EYED GUYS BREWING CO.,8.5,15.5,13.16,11.82,,25.3,7.1,11.33,16.67,,19.67,15.67,144.72000000000003
fremont brewing company,FREMONT BREWINGFREMONT BREWING COMPANY,2432.57,2138.85,2791.8199999999997,2529.5499999999997,2605.31,3071.87,2713.02,2729.31,2815.2200000000003,2046.05,2426.99,3203.74,31504.3
fringe brewing,FRINGE BREWING,6.5,32.0,19.5,20.0,33.5,32.5,7.4,20.25,27.5,26.5,38.5,18.5,282.65
future primitive brewing,FUTURE PRIMITIVE BREWING,93.77,74.43,123.34,,249.19,147.89,92.88,90.08,153.97,84.91,73.7,92.96,1277.12
gallaghers where u brew,GALLAGHERS WHERE U BREW,,31.23,16.58,14.24,,18.23,3.77,3.07,17.68,35.99,18.06,17.93,176.78000000000003
garden path fermentation,GARDEN PATH FERMENTATION,2.96,3.13,10.68,4.46,6.45,6.62,7.84,7.24,6.79,2.87,4.09,3.2,66.33
garland brew werks,GARLAND BREW WERKS,13.59,,43.5,,57.44,,34.1,,,54.73,,28.99,232.35
geaux brewing,GEAUX BREWING,,21.26,,,,,,37.59,,,,,58.85000000000001
genus brewing,GENUS BREWING & SUPPLY,5.82,5.78,8.3,6.45,5.54,6.77,6.86,5.82,6.34,5.9,3.92,4.11,71.61
georgetown brewing company,GEORGETOWN BREWING CO.,6409.97,6503.01,8538.23,8672.18,8855.93,9571.99,8722.62,10193.51,9227.2,8985.2,9315.17,7380.14,102375.14999999998
ghost runners brewery,GHOST RUNNERS BREWERY,18.35,18.49,25.44,23.81,24.85,23.1,19.99,23.6,23.73,26.82,18.67,16.89,263.74
ghostfish brewing company,GHOSTFISH BREWING COMPANY,97.63,150.56,107.58,144.68,158.43,198.79,176.19,168.36,223.38,161.31,140.69,156.32,1883.92
gig harbor brewing,GIG HARBOR BREWING COMPANY,,36.6,,39.4,25.67,36.7,,,90.5,28.0,,34.0,290.87
golden handle brewing company,GOLDEN HANDLE PROJECT S.P.C.,0.75,1.17,,,,,1.0,17.0,4.5,6.17,6.92,7.33,44.84
good brewing company,GOOD BREWING CO. BOTHELL,,,,,,,,,,,5.0,,5.0
grains of wrath brewing,GRAINS OF WRATH BREWERY,,,861.56,,,,,,,368.55,,901.57,2131.6800000000003
griffin brewing pilot house,GRIFFIN BREWING PILOT HOUSE,,,10.64,7.88,8.66,7.3,7.61,7.85,6.04,6.06,5.09,,67.13000000000001
gruff brewing company,GRUFF BREWING COMPANY,,122.5,,,93.5,36.5,35.1,38.5,20.0,32.0,45.0,27.0,450.1
hale's ales,HALES ALES LTD,99.77,109.15,109.82,54.49,12.34,3.48,,,,,,,389.05
half lion brewing company,HALF LION BREWING COMPANY,49.35,65.09,106.16,79.55,,218.95,120.13,141.27,124.75,86.73,,193.75,1185.73
haywire brewing company,HAYWIRE BREWING CO,44.41,16.52,20.27,27.0,,,80.64,,,83.88,35.71,,308.42999999999995
headless mumby brewing company,HEADLESS MUMBY BREWING,32.61,37.7,46.25,36.21,40.28,41.39,37.58,62.8,49.61,29.69,,27.89,442.00999999999993
headworks brewing,HEADWORKS BREWING,31.61,49.47,48.31,22.28,42.74,28.5,46.19,43.73,38.5,31.78,21.95,41.77,446.83
heathen brewing,HEATHEN BREWING,60.16,73.03,101.79,128.08,-1.19,91.41,121.75,-11.35,208.36,146.68,-4.92,47.370000000000005,961.17
hellbent brewing company,HELLBENT BREWING,221.72,279.75,300.26,305.08,262.63,359.03,276.78,378.17,325.08,262.31,269.32,247.41,3487.54
hemlock state brewing company,HEMLOCK STATE BREWING COMPANY,20.9,18.53,20.9,20.87,21.58,18.88,32.44,18.79,20.27,25.16,18.28,18.53,255.13
here today brewery and kitchen,HERE TODAY BREWERY & KITCHEN,,,,,,,,,,9.5,19.0,9.6,38.1
hideaway brewing company,HIDEAWAY BREWING COMPANY,2.67,2.16,1.34,2.25,2.67,4.0,4.5,4.58,2.83,4.32,2.66,3.03,37.010000000000005
high bluff brewing,HIGH BLUFF BREWING,,,,,,,0.16,0.32,0.5,0.66,0.32,,1.96
hildegard ferments and botanicals,HILDEGARD FERMENTS AND BOTANICALS,,,,,,,,,,1.89,0.55,6.0,8.44
hillbilly brewing company,HILLBILLY BREWING COMPANY,,,0.33,1.17,,,1.5,0.5,,,1.0,,4.5
hoh river brewery,HOH RIVER BREWERY,,5.11,6.31,2.0,5.42,6.03,3.02,6.51,6.82,13.28,8.39,5.66,68.55000000000001
holy mountain brewing company,HOLY MOUNTAIN BREWING COMPANY,243.1,124.11,213.74,,325.49,204.24,243.69,250.54,,415.76,183.5,186.32,2390.49
hood canal brewery,HOOD CANAL BREWING COMPANYHOOD CANAL BREWERY,7.54,10.56,11.61,14.71,7.34,14.59,18.76,15.6,8.11,16.17,,4.2,129.19
hop chaos brewing company,HOP CHAOS BREWING COMPANY,7.0,1.0,10.0,,5.0,,15.0,5.0,3.0,10.0,,13.0,69.0
hoquiam brewing company,HOQUIAM BREWING COMPANY,17.23,,23.62,,20.75,,24.66,,29.7,,24.71,,140.67
horse heaven hills brewery,HORSE HEAVEN HILLS BREWERY,5.0,,15.0,5.0,15.0,10.0,5.0,10.0,5.0,5.0,5.0,5.0,85.0
humble abode brewing,HUMBLE ABODE BREWING,10.5,29.76,17.95,28.38,12.0,29.73,14.7,20.64,17.78,29.4,17.85,17.55,246.24
ice harbor brewing company,ICE HARBOR BREWING COMPANY,94.99,100.3,147.57,154.29,124.7,134.16,154.24,121.71,126.72,97.39,101.4,82.59,1440.0600000000002
icicle brewing company,ICICLE BREWING COMPANY,550.86,555.02,828.06,608.05,697.81,927.36,931.51,812.67,1012.73,803.42,732.53,752.14,9212.159999999998
iconic brewing,ICONIC BREWING,9.2,8.65,13.35,13.0,13.11,17.61,13.73,,74.23,16.25,,71.31,250.44000000000003
in the shadow brewing,IN THE SHADOW BREWING,2.83,3.83,4.09,4.32,3.83,7.82,8.91,5.16,8.85,5.99,4.97,4.62,65.22
inland ale works,INLAND ALE WORKS BREWING CO,,,1.61,8.14,8.03,11.49,7.86,-0.17,3.9,8.55,3.22,,52.63
iron goat brewing,IRON GOAT BREWING,80.17,48.55,83.11,69.7,73.03,93.39,80.54,66.43,88.85,74.16,78.7,72.72,909.35
iron horse brewery,IRON HORSE BREWERY,998.4,1430.1,1344.42,1093.89,955.27,1146.92,1135.27,1237.49,1070.83,967.29,-41.19,1979.11,13317.8
island hoppin' brewery,ISLAND HOPPIN BREWERY,18.59,18.84,28.0,35.06,40.66,61.1,59.3,67.68,42.91,39.66,17.44,,429.24
jellyfish brewing company,JELLYFISH BREWING COMPANY,91.58,98.81,119.72,116.78,115.78,130.36,147.46,168.6,140.5,123.21,91.7,98.6,1443.1
jones creek brewing,JONES CREEK BREWING,5.57,2.56,5.8,6.42,4.02,4.58,7.33,7.01,,8.04,5.26,3.93,60.52
kulshan brewing company,KULSHAN BREWING COMPANYKULSHAN BREWERY,618.5400000000001,676.84,806.3299999999999,818.35,977.33,946.97,1040.63,1234.36,881.79,710.7900000000001,881.03,677.34,10270.3
la conner brewing company,LA CONNER BREWING COMPANYLA CENTER BREWING LLC,5.3,32.7,22.880000000000003,63.120000000000005,21.3,22.97,27.42,34.19,28.27,12.03,45.91,2.75,318.84
ladd and lass brewing,LADD & LASS BREWING,7.29,15.22,15.8,15.74,17.66,15.8,9.48,23.6,25.06,22.9,18.72,19.99,207.26
laht neppur brewing company,LAHT NEPPUR BREWING AND LAHT NEPPUR CELLARS,,7.0,3.5,17.5,,7.0,7.0,14.0,10.5,13.0,,,79.5
lake chelan brewery,LAKE CHELAN BREWERY,14.0,,5.0,,30.0,,,,18.5,7.0,,8.0,82.5
lake stevens brewing company,LAKE STEVENS BREWING COMPANY,23.84,23.5,,46.84,25.66,,51.5,30.66,22.5,,43.68,18.0,286.18
lantern brewing,LANTERN BREWING,8.83,10.37,12.38,13.9,13.03,20.91,18.36,20.41,23.9,18.41,16.49,16.95,193.94
lazy boy brewing,LAZY BOY BREWING CO,56.33,73.61,47.36,50.39,58.32,42.58,45.82,89.16,63.33,70.81,43.27,17.83,658.8100000000001
logan brewing company,LOGAN BREWING COMPANY,,68.33,42.72,44.42,45.19,55.36,50.45,55.29,44.86,38.25,36.29,36.79,517.95
loowit brewing company,LOOWIT BREWING COMPANY,102.56,101.64,152.03,143.4,106.22,166.49,127.61,108.48,153.42,103.54,105.98,150.97,1522.34
lopez island brewing company,LOPEZ ISLAND BREWING COMPANY,,7.17,12.08,4.7,4.81,12.07,12.53,17.25,5.23,6.84,0.83,1.33,84.84
lost woods brewery,LOST WOODS BREWERY,,,20.0,24.0,,34.0,,15.0,,,,58.0,151.0
lovecraft brewing company,LOVECRAFT BREWING,6.0,10.0,1.0,2.0,,8.0,,22.0,21.0,2.0,9.0,,81.0
lowercase brewing,LOWERCASE BREWING,153.85,,,125.67,,,80.12,52.39,20.5,,67.63,,500.16
