index,brewery_wa,brewery_prod,month,production
401,anacortes brewery,ANACORTES BREWERY,February,4.6
789,anacortes brewery,ANACORTES BREWERY,March,34.4
1177,anacortes brewery,ANACORTES BREWERY,April,62.8
1565,anacortes brewery,ANACORTES BREWERY,May,39.65
1953,anacortes brewery,ANACORTES BREWERY,June,55.5
2341,anacortes brewery,ANACORTES BREWERY,July,66.1
2729,anacortes brewery,ANACORTES BREWERY,August,67.5
3117,anacortes brewery,ANACORTES BREWERY,September,70.55
3505,anacortes brewery,ANACORTES BREWERY,October,44.56
3893,anacortes brewery,ANACORTES BREWERY,November,31.0
4281,anacortes brewery,ANACORTES BREWERY,December,19.9
4669,anacortes brewery,ANACORTES BREWERY,total_annual,507.66
14,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,January,4.43
402,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,February,1.95
790,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,March,0.76
1178,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,April,1.73
1566,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,May,4.26
1954,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,June,2.14
2342,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,July,
2730,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,August,1.62
3118,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,September,0.9
3506,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,October,
3894,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,November,
4282,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,December,7.93
4670,ancient lakes brewing company,TWENTY-EIGHT TEN LLC,total_annual,25.72
15,another round brewing company,ANOTHER ROUND BREWING CO,January,
403,another round brewing company,ANOTHER ROUND BREWING CO,February,
791,another round brewing company,ANOTHER ROUND BREWING CO,March,11.63
1179,another round brewing company,ANOTHER ROUND BREWING CO,April,12.57
1567,another round brewing company,ANOTHER ROUND BREWING CO,May,13.29
1955,another round brewing company,ANOTHER ROUND BREWING CO,June,13.0
2343,another round brewing company,ANOTHER ROUND BREWING CO,July,11.72
2731,another round brewing company,ANOTHER ROUND BREWING CO,August,14.81
3119,another round brewing company,ANOTHER ROUND BREWING CO,September,15.18
3507,another round brewing company,ANOTHER ROUND BREWING CO,October,10.93
3895,another round brewing company,ANOTHER ROUND BREWING CO,November,12.59
4283,another round brewing company,ANOTHER ROUND BREWING CO,December,9.94
4671,another round brewing company,ANOTHER ROUND BREWING CO,total_annual,125.66000000000004
16,ashtown brewing company,ASHTOWN BREWING COMPANY,January,8.3
404,ashtown brewing company,ASHTOWN BREWING COMPANY,February,8.64
792,ashtown brewing company,ASHTOWN BREWING COMPANY,March,11.75
